type,value,timestamp
GOOG,30.624500274658203,2015-09-08 16:00:00
MSFT,44.209999084472656,2015-09-09 16:00:01
GOOG,31.06100082397461,2015-09-09 16:00:00
MSFT,43.119998931884766,2015-09-10 16:00:01
GOOG,30.655000686645508,2015-09-10 16:00:00
MSFT,43.13999938964844,2015-09-11 16:00:01
GOOG,30.987499237060547,2015-09-11 16:00:00
MSFT,43.43000030517578,2015-09-14 16:00:01
GOOG,31.28499984741211,2015-09-14 16:00:00
MSFT,43.189998626708984,2015-09-15 16:00:01
GOOG,31.334999084472656,2015-09-15 16:00:00
MSFT,43.970001220703125,2015-09-16 16:00:01
GOOG,31.773500442504883,2015-09-16 16:00:00
MSFT,44.290000915527344,2015-09-17 16:00:01
GOOG,31.88949966430664,2015-09-17 16:00:00
MSFT,43.5,2015-09-18 16:00:01
GOOG,31.839500427246097,2015-09-18 16:00:00
MSFT,43.619998931884766,2015-09-21 16:00:01
GOOG,31.719999313354492,2015-09-21 16:00:00
MSFT,43.380001068115234,2015-09-22 16:00:01
GOOG,31.350000381469727,2015-09-22 16:00:00
GOOG,31.102500915527344,2015-09-23 16:00:00
MSFT,43.93000030517578,2015-09-23 16:00:01
MSFT,43.45000076293945,2015-09-24 16:00:01
GOOG,30.832000732421875,2015-09-24 16:00:00
GOOG,31.488500595092773,2015-09-25 16:00:00
MSFT,44.47999954223633,2015-09-25 16:00:01
MSFT,43.83000183105469,2015-09-28 16:00:01
GOOG,30.517000198364254,2015-09-28 16:00:00
GOOG,29.86400032043457,2015-09-29 16:00:00
MSFT,43.369998931884766,2015-09-29 16:00:01
MSFT,43.880001068115234,2015-09-30 16:00:01
GOOG,30.163999557495117,2015-09-30 16:00:00
MSFT,44.75,2015-10-01 16:00:01
GOOG,30.418500900268555,2015-10-01 16:00:00
MSFT,44.27000045776367,2015-10-02 16:00:01
GOOG,30.36000061035156,2015-10-02 16:00:00
MSFT,45.75,2015-10-05 16:00:01
GOOG,31.600000381469727,2015-10-05 16:00:00
MSFT,46.33000183105469,2015-10-06 16:00:01
GOOG,31.941999435424805,2015-10-06 16:00:00
MSFT,47.099998474121094,2015-10-07 16:00:01
